;signatur;geschaftstyp;partei;urheber;titel;beginn_datum;ende;schwerpunkt;geschaft;status;jahr;themes;pdf_file_url;content
516;19.5022;Anzug;SP;Brigger, René;Anzug René Brigger und Konsorten betreffend Ergänzung der Bebauungspläne mit raumplanerischen Zielen;2019-02-13;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200109445;B;2019;;https://grosserrat.bs.ch/dokumente/100388/000000388952.pdf;tbd
517;19.5021;Anzug;;Atici, Mustafa;Anzug Mustafa Atici und Konsorten betreffend Stärkung des baselstädtischen Zentrums für Brückenangebote;2019-02-13;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200109444;A;2019;;https://grosserrat.bs.ch/dokumente/100388/000000388951.pdf;tbd
518;19.502;Anzug;;Wyss, Sarah;Anzug Sarah Wyss und Sebastian Kölliker betreffend ambulant vor stationär fördern;2019-02-13;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200109443;A;2019;;https://grosserrat.bs.ch/dokumente/100388/000000388950.pdf;tbd
519;19.5009;Interpellation;;Vitelli, Jörg;Interpellation Nr. 139 Jörg Vitelli betreffend Kauf des Klybeckareals durch den Kanton;2019-01-09;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200109433;A;2019;Areale & Quartiere|Privatwirtschaft & Standort;https://grosserrat.bs.ch/dokumente/100388/000000388935.pdf;tbd
520;23.5323;Interpellation;FDP;Urgese, Luca;Interpellation Nr. 89 Luca Urgese betreffend politische Organisationen im Sekundarschulunterricht;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112558;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404891.pdf;tbd
521;23.5319;Interpellation;BastA!;Goepfert, Nicola;Interpellation Nr. 85 Nicola Goepfert betreffend keine neue Gasinfrastruktur in der Langen Erle;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112554;B;2023;Gestaltung & Infrastruktur|Energieversorgung;https://grosserrat.bs.ch/dokumente/100404/000000404887.pdf;tbd
522;23.5317;Interpellation;SP;Pfister, Pascal;Interpellation Nr. 83 Pascal Pfister betreffend Folgen der Erhöhung des Referenzzinssatzes und Massnahmen zum Schutz der Mieter:innen;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112552;B;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404885.pdf;tbd
523;23.5315;Interpellation;BastA!;Zürcher, Tonja;Interpellation Nr. 81 Tonja Zürcher betreffend feministischer Streik und Frauenstreik;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112550;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404883.pdf;tbd
524;23.5311;Interpellation;LDP;Kuster-Simon, Nicole;Interpellation Nr. 79 Nicole Kuster betreffend Einsetzung einer «Task Force Wohnen» mit dem Ziel, zusätzlichen Wohnraum rasch schaffen zu können;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112545;B;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404872.pdf;tbd
525;23.5284;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend E-Bikes bei der Basler Polizei;2023-06-07;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112533;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404843.pdf;tbd
